country,points,price,province,title,variety,winery
France,96,2500,Burgundy,Domaine du Comte Liger-Belair 2010  La Romanée,Pinot Noir,Domaine du Comte Liger-Belair
France,96,2000,Burgundy,Domaine du Comte Liger-Belair 2005  La Romanée,Pinot Noir,Domaine du Comte Liger-Belair
France,94,1125,Burgundy,Domaine du Comte Liger-Belair 2006  La Romanée,Pinot Noir,Domaine du Comte Liger-Belair
France,95,973,Burgundy,Domaine Jacques Prieur 2014  Musigny,Pinot Noir,Domaine Jacques Prieur
France,95,650,Burgundy,Louis Latour 2015 Les Quatre Journaux  (Romanée-St.-Vivant),Pinot Noir,Louis Latour
France,97,639,Burgundy,Joseph Drouhin 2012  Grands-Echezeaux,Pinot Noir,Joseph Drouhin
France,95,602,Burgundy,Domaine Jacques Prieur 2014  Chambertin,Pinot Noir,Domaine Jacques Prieur
France,94,580,Burgundy,Louis Latour 2014 Les Quatre Journaux  (Romanée-St.-Vivant),Pinot Noir,Louis Latour
France,96,575,Burgundy,Bouchard Père & Fils 2006  Chambertin Clos de Bèze,Pinot Noir,Bouchard Père & Fils
France,96,530,Burgundy,Albert Bichot 2014 Domaine du Clos Frantin  (Chambertin),Pinot Noir,Albert Bichot
France,96,525,Burgundy,Domaine Perrot-Minot 2010 Chambertin Clos de Bèze Grand Cru  (Chambertin Clos de Bèze),Pinot Noir,Domaine Perrot-Minot
France,96,510,Burgundy,Domaine Jacques Prieur 2009 Musigny  (Musigny),Pinot Noir,Domaine Jacques Prieur
France,96,496,Burgundy,Roche de Bellene 2011  Chambertin,Pinot Noir,Roche de Bellene
France,96,480,Burgundy,Roche de Bellene 2011  Bonnes-Mares,Pinot Noir,Roche de Bellene
France,95,475,Burgundy,Domaine Perrot-Minot 2010  Mazoyeres-Chambertin,Pinot Noir,Domaine Perrot-Minot
France,96,474,Burgundy,Louis Jadot 2014  Chambertin Clos de Bèze,Pinot Noir,Louis Jadot
France,97,468,Burgundy,Louis Jadot 2013  Chambertin Clos de Bèze,Pinot Noir,Louis Jadot
France,93,463,Burgundy,Jean-Luc and Paul Aegerter 2013  Bonnes-Mares,Pinot Noir,Jean-Luc and Paul Aegerter
France,95,460,Burgundy,Domaine Faiveley 2014  Chambertin Clos de Bèze,Pinot Noir,Domaine Faiveley
France,94,460,Burgundy,Louis Latour 2014  Grands-Echezeaux,Pinot Noir,Louis Latour
France,95,455,Burgundy,Chanson Père et Fils 2013  Chambertin Clos de Bèze,Pinot Noir,Chanson Père et Fils
France,94,450,Burgundy,Jean-Luc and Paul Aegerter 2012  Bonnes-Mares,Pinot Noir,Jean-Luc and Paul Aegerter
France,94,450,Burgundy,Philippe Pacalet 2013  Echézeaux,Pinot Noir,Philippe Pacalet
France,93,425,Burgundy,Louis Latour 2009 Les Quatre Journaux  (Romanée-St.-Vivant),Pinot Noir,Louis Latour
France,92,400,Burgundy,Domaine Henri Rebourseau 2000 Clos de Vougeot  (Clos de Vougeot),Pinot Noir,Domaine Henri Rebourseau
France,95,400,Burgundy,Bouchard Père & Fils 2006  Echézeaux,Pinot Noir,Bouchard Père & Fils
France,95,399,Burgundy,Louis Latour 2015 Cuvée Héritiers Latour  (Chambertin),Pinot Noir,Louis Latour
France,93,391,Burgundy,Domaine Faiveley 2011  Chambertin Clos de Bèze,Pinot Noir,Domaine Faiveley
France,95,385,Burgundy,Albert Bichot 2014 Domaine du Clos Frantin  (Grands-Echezeaux),Pinot Noir,Albert Bichot
France,95,370,Burgundy,Domaine Jacques Prieur 2009 Echézeaux  (Echézeaux),Pinot Noir,Domaine Jacques Prieur
France,91,369,Burgundy,Jean-Luc and Paul Aegerter 2012  Clos de Vougeot,Pinot Noir,Jean-Luc and Paul Aegerter
France,94,365,Burgundy,Domaine Perrot-Minot 2010 La Richemonne Cuvée Ultra Premier Cru  (Nuits-St.-Georges),Pinot Noir,Domaine Perrot-Minot
France,95,360,Burgundy,Domaine Jacques Prieur 2009 Chambertin  (Chambertin),Pinot Noir,Domaine Jacques Prieur
France,95,360,Burgundy,Louis Latour 2015  Echézeaux,Pinot Noir,Louis Latour
France,93,359,Burgundy,Louis Latour 2009 Charmes Chambertin  (Charmes-Chambertin),Pinot Noir,Louis Latour
France,95,357,Burgundy,Joseph Drouhin 2012 Petit Monts Premier Cru  (Vosne-Romanée),Pinot Noir,Joseph Drouhin
